Date,Year,Quarter,Month,Month_Name,Week,Day,Day_Name,Is_Weekend
2023-10-29,2023,4,10,October,43,29,Sunday,True
2023-10-30,2023,4,10,October,44,30,Monday,False
2023-10-31,2023,4,10,October,44,31,Tuesday,False
2023-11-01,2023,4,11,November,44,1,Wednesday,False
2023-11-02,2023,4,11,November,44,2,Thursday,False
2023-11-03,2023,4,11,November,44,3,Friday,False
2023-11-04,2023,4,11,November,44,4,Saturday,True
2023-11-05,2023,4,11,November,44,5,Sunday,True
2023-11-06,2023,4,11,November,45,6,Monday,False
2023-11-07,2023,4,11,November,45,7,Tuesday,False
2023-11-08,2023,4,11,November,45,8,Wednesday,False
2023-11-09,2023,4,11,November,45,9,Thursday,False
2023-11-10,2023,4,11,November,45,10,Friday,False
2023-11-11,2023,4,11,November,45,11,Saturday,True
2023-11-12,2023,4,11,November,45,12,Sunday,True
2023-11-13,2023,4,11,November,46,13,Monday,False
2023-11-14,2023,4,11,November,46,14,Tuesday,False
2023-11-15,2023,4,11,November,46,15,Wednesday,False
2023-11-16,2023,4,11,November,46,16,Thursday,False
2023-11-17,2023,4,11,November,46,17,Friday,False
2023-11-18,2023,4,11,November,46,18,Saturday,True
2023-11-19,2023,4,11,November,46,19,Sunday,True
2023-11-20,2023,4,11,November,47,20,Monday,False
2023-11-21,2023,4,11,November,47,21,Tuesday,False
2023-11-22,2023,4,11,November,47,22,Wednesday,False
2023-11-23,2023,4,11,November,47,23,Thursday,False
2023-11-24,2023,4,11,November,47,24,Friday,False
2023-11-25,2023,4,11,November,47,25,Saturday,True
2023-11-26,2023,4,11,November,47,26,Sunday,True
2023-11-27,2023,4,11,November,48,27,Monday,False
2023-11-28,2023,4,11,November,48,28,Tuesday,False
2023-11-29,2023,4,11,November,48,29,Wednesday,False
2023-11-30,2023,4,11,November,48,30,Thursday,False
2023-12-01,2023,4,12,December,48,1,Friday,False
2023-12-02,2023,4,12,December,48,2,Saturday,True
2023-12-03,2023,4,12,December,48,3,Sunday,True
2023-12-04,2023,4,12,December,49,4,Monday,False
2023-12-05,2023,4,12,December,49,5,Tuesday,False
2023-12-06,2023,4,12,December,49,6,Wednesday,False
2023-12-07,2023,4,12,December,49,7,Thursday,False
2023-12-08,2023,4,12,December,49,8,Friday,False
2023-12-09,2023,4,12,December,49,9,Saturday,True
2023-12-10,2023,4,12,December,49,10,Sunday,True
2023-12-11,2023,4,12,December,50,11,Monday,False
2023-12-12,2023,4,12,December,50,12,Tuesday,False
2023-12-13,2023,4,12,December,50,13,Wednesday,False
2023-12-14,2023,4,12,December,50,14,Thursday,False
2023-12-15,2023,4,12,December,50,15,Friday,False
2023-12-16,2023,4,12,December,50,16,Saturday,True
2023-12-17,2023,4,12,December,50,17,Sunday,True
2023-12-18,2023,4,12,December,51,18,Monday,False
2023-12-19,2023,4,12,December,51,19,Tuesday,False
2023-12-20,2023,4,12,December,51,20,Wednesday,False
2023-12-21,2023,4,12,December,51,21,Thursday,False
2023-12-22,2023,4,12,December,51,22,Friday,False
2023-12-23,2023,4,12,December,51,23,Saturday,True
2023-12-24,2023,4,12,December,51,24,Sunday,True
2023-12-25,2023,4,12,December,52,25,Monday,False
2023-12-26,2023,4,12,December,52,26,Tuesday,False
2023-12-27,2023,4,12,December,52,27,Wednesday,False
2023-12-28,2023,4,12,December,52,28,Thursday,False
2023-12-29,2023,4,12,December,52,29,Friday,False
2023-12-30,2023,4,12,December,52,30,Saturday,True
2023-12-31,2023,4,12,December,52,31,Sunday,True
2024-01-01,2024,1,1,January,1,1,Monday,False
2024-01-02,2024,1,1,January,1,2,Tuesday,False
2024-01-03,2024,1,1,January,1,3,Wednesday,False
2024-01-04,2024,1,1,January,1,4,Thursday,False
2024-01-05,2024,1,1,January,1,5,Friday,False
2024-01-06,2024,1,1,January,1,6,Saturday,True
2024-01-07,2024,1,1,January,1,7,Sunday,True
2024-01-08,2024,1,1,January,2,8,Monday,False
2024-01-09,2024,1,1,January,2,9,Tuesday,False
2024-01-10,2024,1,1,January,2,10,Wednesday,False
2024-01-11,2024,1,1,January,2,11,Thursday,False
2024-01-12,2024,1,1,January,2,12,Friday,False
2024-01-13,2024,1,1,January,2,13,Saturday,True
2024-01-14,2024,1,1,January,2,14,Sunday,True
2024-01-15,2024,1,1,January,3,15,Monday,False
2024-01-16,2024,1,1,January,3,16,Tuesday,False
2024-01-17,2024,1,1,January,3,17,Wednesday,False
2024-01-18,2024,1,1,January,3,18,Thursday,False
2024-01-19,2024,1,1,January,3,19,Friday,False
2024-01-20,2024,1,1,January,3,20,Saturday,True
2024-01-21,2024,1,1,January,3,21,Sunday,True
2024-01-22,2024,1,1,January,4,22,Monday,False
2024-01-23,2024,1,1,January,4,23,Tuesday,False
2024-01-24,2024,1,1,January,4,24,Wednesday,False
2024-01-25,2024,1,1,January,4,25,Thursday,False
2024-01-26,2024,1,1,January,4,26,Friday,False
2024-01-27,2024,1,1,January,4,27,Saturday,True
2024-01-28,2024,1,1,January,4,28,Sunday,True
2024-01-29,2024,1,1,January,5,29,Monday,False
2024-01-30,2024,1,1,January,5,30,Tuesday,False
2024-01-31,2024,1,1,January,5,31,Wednesday,False
2024-02-01,2024,1,2,February,5,1,Thursday,False
2024-02-02,2024,1,2,February,5,2,Friday,False
2024-02-03,2024,1,2,February,5,3,Saturday,True
2024-02-04,2024,1,2,February,5,4,Sunday,True
2024-02-05,2024,1,2,February,6,5,Monday,False
2024-02-06,2024,1,2,February,6,6,Tuesday,False
2024-02-07,2024,1,2,February,6,7,Wednesday,False
2024-02-08,2024,1,2,February,6,8,Thursday,False
2024-02-09,2024,1,2,February,6,9,Friday,False
2024-02-10,2024,1,2,February,6,10,Saturday,True
2024-02-11,2024,1,2,February,6,11,Sunday,True
2024-02-12,2024,1,2,February,7,12,Monday,False
2024-02-13,2024,1,2,February,7,13,Tuesday,False
2024-02-14,2024,1,2,February,7,14,Wednesday,False
2024-02-15,2024,1,2,February,7,15,Thursday,False
2024-02-16,2024,1,2,February,7,16,Friday,False
2024-02-17,2024,1,2,February,7,17,Saturday,True
2024-02-18,2024,1,2,February,7,18,Sunday,True
2024-02-19,2024,1,2,February,8,19,Monday,False
2024-02-20,2024,1,2,February,8,20,Tuesday,False
2024-02-21,2024,1,2,February,8,21,Wednesday,False
2024-02-22,2024,1,2,February,8,22,Thursday,False
2024-02-23,2024,1,2,February,8,23,Friday,False
2024-02-24,2024,1,2,February,8,24,Saturday,True
2024-02-25,2024,1,2,February,8,25,Sunday,True
2024-02-26,2024,1,2,February,9,26,Monday,False
2024-02-27,2024,1,2,February,9,27,Tuesday,False
2024-02-28,2024,1,2,February,9,28,Wednesday,False
2024-02-29,2024,1,2,February,9,29,Thursday,False
2024-03-01,2024,1,3,March,9,1,Friday,False
2024-03-02,2024,1,3,March,9,2,Saturday,True
2024-03-03,2024,1,3,March,9,3,Sunday,True
2024-03-04,2024,1,3,March,10,4,Monday,False
2024-03-05,2024,1,3,March,10,5,Tuesday,False
2024-03-06,2024,1,3,March,10,6,Wednesday,False
2024-03-07,2024,1,3,March,10,7,Thursday,False
2024-03-08,2024,1,3,March,10,8,Friday,False
2024-03-09,2024,1,3,March,10,9,Saturday,True
2024-03-10,2024,1,3,March,10,10,Sunday,True
2024-03-11,2024,1,3,March,11,11,Monday,False
2024-03-12,2024,1,3,March,11,12,Tuesday,False
2024-03-13,2024,1,3,March,11,13,Wednesday,False
2024-03-14,2024,1,3,March,11,14,Thursday,False
2024-03-15,2024,1,3,March,11,15,Friday,False
2024-03-16,2024,1,3,March,11,16,Saturday,True
2024-03-17,2024,1,3,March,11,17,Sunday,True
2024-03-18,2024,1,3,March,12,18,Monday,False
2024-03-19,2024,1,3,March,12,19,Tuesday,False
2024-03-20,2024,1,3,March,12,20,Wednesday,False
2024-03-21,2024,1,3,March,12,21,Thursday,False
2024-03-22,2024,1,3,March,12,22,Friday,False
2024-03-23,2024,1,3,March,12,23,Saturday,True
