Security_Id,Vendor_ID,Vendor_Code,Source_Feed_ID,Price_Type,Exchange_Code,Price_Date,Price_USD,Median_Price,Price_Variation_Pct,Abs_Price_Variation_Pct,Outlier_Category,Is_Concurrent_Price
0479T6VX,60,FactSet,151,Ask,STO,2024-12-01,262.18440000000004,262.18440000000004,0.0,0.0,Exact Match (0%),True
0479T6VX,70,MSCI,201,Close,FRA,2025-05-05,367.95000000000005,367.95000000000005,0.0,0.0,Exact Match (0%),True
0479T6VX,10,Bloomberg,22,Close,FRA,2024-10-05,281.5541,281.5541,0.0,0.0,Exact Match (0%),True
0479T6VX,50,Refinitiv,75,Close,TOR,2025-06-06,13.541000000000002,13.541000000000002,0.0,0.0,Exact Match (0%),True
0479T6VX,20,Markit,26,Bid,ZUR,2024-12-07,162.06300000000002,162.06300000000002,0.0,0.0,Exact Match (0%),True
0479T6VX,60,FactSet,150,Open,ZUR,2024-08-08,420.75000000000006,420.75000000000006,0.0,0.0,Exact Match (0%),True
0479T6VX,30,S&P,102,Close,FRA,2024-09-11,123.54610000000001,123.54610000000001,0.0,0.0,Exact Match (0%),True
0479T6VX,40,Reuters,51,Open,FRA,2025-07-13,20.188708,20.188708,0.0,0.0,Exact Match (0%),True
0479T6VX,40,Reuters,50,Ask,STO,2025-07-16,126.89600000000002,126.89600000000002,0.0,0.0,Exact Match (0%),True
0479T6VX,80,Morningstar,301,Close,ZUR,2024-06-17,107.74400000000001,107.74400000000001,0.0,0.0,Exact Match (0%),True
0479T6VX,20,Markit,25,Open,NYC,2024-02-18,74.906,74.906,0.0,0.0,Exact Match (0%),True
0479T6VX,100,NASDAQ,502,Close,SYD,2025-07-18,589.6310000000001,589.6310000000001,0.0,0.0,Exact Match (0%),True
0479T6VX,10,Bloomberg,22,Bid,SYD,2025-04-20,73.9,73.9,0.0,0.0,Exact Match (0%),True
0479T6VX,80,Morningstar,300,Bid,NYC,2025-05-20,17.64,17.64,0.0,0.0,Exact Match (0%),True
0479T6VX,20,Markit,27,Ask,STO,2025-01-24,61.71000000000001,61.71000000000001,0.0,0.0,Exact Match (0%),True
0479T6VX,60,FactSet,151,Open,TOK,2025-01-24,177.9648,177.9648,0.0,0.0,Exact Match (0%),True
0479T6VX,60,FactSet,150,Bid,FRA,2025-08-27,49.660132000000004,49.660132000000004,0.0,0.0,Exact Match (0%),True
0479T6VX,90,ICE_Data,402,Open,ZUR,2024-06-28,70.61800000000001,70.61800000000001,0.0,0.0,Exact Match (0%),True
0479T6VX,80,Morningstar,301,Bid,FRA,2024-05-28,36.852,36.852,0.0,0.0,Exact Match (0%),True
